time,Lyman_alpha,MgII,au_factor,Lyman_alpha_corr,MgII_corr
2018-02-03,0.00635678,0.26297745,0.9715346,0.006175832,0.2554917
2018-02-04,0.006353412,0.26302096,0.9718429,0.0061745183,0.25561506
2018-02-05,0.0063961945,0.2633105,0.97216135,0.006218133,0.25598028
2018-02-06,0.006424363,0.26350594,0.97248924,0.006247624,0.2562567
2018-02-07,0.006507147,0.26389477,0.9728262,0.006330323,0.25672373
2018-02-08,0.006471756,0.26376605,0.97317123,0.0062981267,0.25668952
2018-02-09,0.006469316,0.26374885,0.9735241,0.006298035,0.25676587
2018-02-10,0.0065277675,0.26402444,0.973884,0.0063572885,0.25712916
2018-02-11,0.0065691913,0.26425597,0.9742507,0.006400039,0.25745156
2018-02-12,0.0065611773,0.26414257,0.9746233,0.0063946764,0.25743952
2018-02-13,0.0065272967,0.26407284,0.97500163,0.006364125,0.25747144
2018-02-14,0.006488972,0.2639576,0.9753855,0.006329249,0.25746042
2018-02-15,0.006482024,0.2638298,0.9757742,0.006324992,0.25743833
2018-02-16,0.006422271,0.26352754,0.97616786,0.0062692147,0.25724712
2018-02-17,0.0063364706,0.26308355,0.9765661,0.0061879824,0.25691846
2018-02-18,0.0062780115,0.26276413,0.976969,0.0061334227,0.2567124
2018-02-19,0.006237204,0.26262897,0.9773764,0.0060960962,0.25668737
2018-02-20,0.006254504,0.26273787,0.9777887,0.0061155832,0.25690213
2018-02-21,0.0062246546,0.26259345,0.97820616,0.0060889954,0.25687054
2018-02-22,0.00620756,0.26252618,0.9786289,0.0060748975,0.25691572
2018-02-23,0.006195411,0.26254255,0.97905743,0.0060656634,0.25704423
2018-02-24,0.0061731143,0.26245925,0.9794925,0.006046519,0.25707686
2018-02-25,0.0061947634,0.2625779,0.9799344,0.0060704616,0.2573091
2018-02-26,0.0062750387,0.26294068,0.98038375,0.006151946,0.25778276
